2022-03-14 15:45:45.619 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-03-14 15:45:45.639 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-03-14 15:45:45.711 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-03-14 15:45:45.867 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:17, serverValue:82493}] to 114.55.119.114:27117
2022-03-14 15:45:45.867 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:18, serverValue:97823}] to 114.55.119.114:27317
2022-03-14 15:45:45.867 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:16, serverValue:81859}] to 114.55.119.114:27217
2022-03-14 15:45:46.010 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadUsingPOST_1
2022-03-14 15:45:46.033 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: testUsingGET_1
2022-03-14 15:45:46.037 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: deleteUserUsingDELETE_1
2022-03-14 15:45:46.116 [restartedMain] INFO  n.d.s.a.grpc.server.NettyGrpcServerFactory - Registered gRPC service: device.DeviceFixService, bean: helloService, class: com.hz.grpc.HelloService
2022-03-14 15:45:46.289 [restartedMain] INFO  n.d.s.a.grpc.server.GrpcServerLifecycle - gRPC Server started, listening on address: 0.0.0.0, port: 9090
2022-03-14 15:45:46.291 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [8.142.46.67:5672]
2022-03-14 15:45:46.469 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:20, serverValue:97824}] to 114.55.119.114:27317
2022-03-14 15:45:46.778 [restartedMain] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#39087a1b:0/SimpleConnection@12ef29c [delegate=amqp://hz@8.142.46.67:5672/, localPort= 62213]
2022-03-14 15:45:46.915 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:19, serverValue:82494}] to 114.55.119.114:27117
2022-03-14 15:45:46.915 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:21, serverValue:81860}] to 114.55.119.114:27217
2022-03-14 15:45:47.072 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:22, serverValue:97825}] to 114.55.119.114:27317
2022-03-14 15:45:47.668 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:25, serverValue:97826}] to 114.55.119.114:27317
2022-03-14 15:45:47.967 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:23, serverValue:82495}] to 114.55.119.114:27117
2022-03-14 15:45:47.967 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:24, serverValue:81861}] to 114.55.119.114:27217
2022-03-14 15:45:48.266 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:26, serverValue:97827}] to 114.55.119.114:27317
2022-03-14 15:45:48.868 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:29, serverValue:97828}] to 114.55.119.114:27317
2022-03-14 15:45:49.020 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:28, serverValue:81862}] to 114.55.119.114:27217
2022-03-14 15:45:49.020 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:27, serverValue:82496}] to 114.55.119.114:27117
2022-03-14 15:45:49.469 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:30, serverValue:97829}] to 114.55.119.114:27317
2022-03-14 15:45:50.068 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:32, serverValue:82497}] to 114.55.119.114:27117
2022-03-14 15:45:50.068 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:31, serverValue:81863}] to 114.55.119.114:27217
2022-03-14 15:45:50.068 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:33, serverValue:97830}] to 114.55.119.114:27317
2022-03-14 15:45:50.667 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:36, serverValue:97831}] to 114.55.119.114:27317
2022-03-14 15:45:51.117 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:35, serverValue:81864}] to 114.55.119.114:27217
2022-03-14 15:45:51.117 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:34, serverValue:82498}] to 114.55.119.114:27117
2022-03-14 15:45:51.178 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 6001 (http) with context path ''
2022-03-14 15:45:51.184 [restartedMain] INFO  com.hz.ServerApplication - Started ServerApplication in 16.532 seconds (JVM running for 17.817)
2022-03-14 15:45:51.270 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:37, serverValue:97832}] to 114.55.119.114:27317
2022-03-14 15:45:51.423 [RMI TCP Connection(2)-192.168.65.217] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-03-14 15:45:51.443 [RMI TCP Connection(2)-192.168.65.217] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2022-03-14 15:45:51.780 [RMI TCP Connection(3)-192.168.65.217] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-03-14 15:45:51.871 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:40, serverValue:97833}] to 114.55.119.114:27317
2022-03-14 15:45:52.168 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:38, serverValue:81865}] to 114.55.119.114:27217
2022-03-14 15:45:52.168 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:39, serverValue:82499}] to 114.55.119.114:27117
2022-03-14 15:45:52.471 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:41, serverValue:97834}] to 114.55.119.114:27317
2022-03-14 15:45:53.069 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:44, serverValue:97835}] to 114.55.119.114:27317
